	Reviewed by	Valid?	Terminology catalogue status	terminology name	acronym / shortname	access URL	domain	keywords	type of terminology	domain-specificity	main language	other language(s)	Variables	Units and dimensions	Terms for observable property	Terms for research object OoI 	terms for constraints	terms for matrix	terms for context	Supported by a model framework?	Terms for method description?	Terms for attribute values?	Properties related to nitrogen?	Alignment/connection to external concepts (selection)	could also align with?	Notes	Comments from meeting 18/08/2020	Further comments (author's name and date)
13	Gwen	yes	0	French Crop Usage Thesaurus	FrenchCropUsage	http://ontology.irstea.fr/cropusage	agricultural sciences http://data.europa.eu/8mn/euroscivoc/9b9abbee-82f5-4766-bd4d-feb73cf06573	crops	thesaurus	narrow	FR		no	no	no	yes	no	no	yes	no	no	no?	no			very specific, targetted at agricultural crops in french		
18	Gwen	yes	1	Biodiversity Thesaurus		https://www.loterre.fr/skosmos/BLH/en	biodiversity conservation http://data.europa.eu/8mn/euroscivoc/0adb1597-9fb5-43ec-81ba-09af6670352d	biodiversity	thesaurus	broad	EN	FR	no	no	yes	yes	no	yes	yes	no	no	no?	no	EBVs, Agrovoc, GEMET, EnvThes, GACS, AnaEE, EARTh, ENVO		Extensive thesaurus which contains a large number of general concepts used to categorise biodiversity research data (so these are categories of observable properties rather than observable properties per se). For examples, at the lower level we have concepts like e.g. "nitrogen cycle", "bioaccumulation", "microbial activity". However, importantly, these categories are linked to EBV classes.There are a few terms that I would qualify as observable property terms like e.g.  "plant height", "plant cover" (these are found in the grouping "Property / Parameter / Miscelleneous characteristics"). The ony reference to nitrogen is for "nitrogen cycle" (http://data.loterre.fr/ark:/67375/BLH-Q5J3P43B-Q). So this terminology would combine well with controlled vocabularies that are more specialised in describing the quantities, qualities, and objects measured or observed (i.e. "column header-type" vocabularies).	fairly high level categories of observable properties or research objects in the field of terrestrial ecology. Some observable proerty terms but not many.	
20	Gwen	yes	0	Wheat Trait Ontology	CO-WHEAT	https://bioportal.bioontology.org/ontologies/CO-WHEAT/  OR http://agroportal.lirmm.fr/ontologies/WHEATPHENOTYPE   	agricultural sciences http://data.europa.eu/8mn/euroscivoc/9b9abbee-82f5-4766-bd4d-feb73cf06573	environmental factors; wheat	thesaurus	narrow	EN		yes	no	yes	no?	yes	no	no	no	no	yes				Contains terms for wheat traits and properties and environmental measurements related to soil properties, wind speed. Research object='wheat'	wheat specific use case but importance for interoperability between terminologies dealing with similar concepts	
29		yes	0	Minimal Information about any Sequence Ontology (MIxS) cryosphere extension	MIxS	https://bioportal.bioontology.org/ontologies/MIXS	genetics http://data.europa.eu/8mn/euroscivoc/bf927f14-c975-45e6-bedd-a383152aa7d3	cryosphere	ontology	narrow			no	no						no								
153	Gwen	no	1	Complex Properties Model - as related to ocean measurements	CPM		All	ontology model framework	ontology	generic	EN			no	no	no	no	no	no	yes	no	no	no			The CPM is a model framework for compound observable properties.		
157	Gwen	yes	1	EnvThes	EnvThes	http://vocabs.lter-europe.net/EnvThes/	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f		thesaurus	broad	EN		yes	no	yes	yes	yes			yes	yes	yes	yes					
51	Alison	yes	1	The Ecosystem Ontology	ECSO	http://bioportal.bioontology.org/ontologies/ECSO	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	atmospheric physics & chemistry; ocean physics & chemistry; land ice; sea ice; soil properties; vegetation	ontology	broad	EN		yes	no	yes	yes	yes			no	yes	yes	yes	no?		Contains some mappings of generic concepts, e.g, 'process', 'population' to other bioportal ontologies, but doesn't seem to have connections to specific concepts in other terminologies.	definitely observable property terminology covering similar grounds to CF	
144		yes	1	US LTER Controlled Vocabulary	LTER	https://vocab.lternet.edu	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f		controlled vocabulary	broad			yes	no				yes	yes	yes								
103	Steve R.	yes	1	BODC Parameter Usage Vocabulary	BODC PUV P01	https://www.bodc.ac.uk/resources/vocabularies/parameter_codes/	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	Oceanography; contamination; biogeochemistry; marine geology and geophysics; marine meteorology; biology; measurements in water; atmosphere; sediments; artifical experiment containers or interventions.	SKOS	generic	EN		yes	no	yes	yes		yes		yes	yes	yes	yes	ChEBI, WoRMS, ITIS, ICES, some QUDT, some EnvO		The BODC PUV is a controlled vocabulary for labelling variables in databases and data files in oceanography and related domains. It is a collection of unique and persistent identifiers attached to structurally logical labels and textual definitions. Semantic model  based on the conceptualisation of what constitutes a measurement and the atomisation into its constituent parts: a PROPERTY of an OBJECT in RELATION to a MATRIX by a METHOD.  Presentation: https://www.bodc.ac.uk/resources/vocabularies/parameter_codes/documents/BODC_P01_PUV_semantic_model_Aug19.pdf.  Github: https://github.com/nvs-vocabs/P01 		Gwen 30/09/2020: updated Steve's input with Terms criteria selection; also added selection of component vocabs to catalogue
104	Gwen	yes	0	Phytoplankton Traits Thesaurus	PHYTOTRAITS.	http://thesauri.lifewatchitaly.eu/PhytoTraits/index.php OR http://ecoportal.lifewatchitaly.eu/ontologies/PHYTOTRAITS	marine biology http://data.europa.eu/8mn/euroscivoc/288627c1-4e51-42b3-b773-f68b39c3b0a9	biological traits; phenotypes	controlled vocabulary	narrow	EN		no	no	yes	no				no	no	yes		no		Phytoplankton traits categorised into demographic traits and functional traits. Current content focuses on biomass (demographic trait) and morpho-functional traits in particular cell shape and cell size including carbon content. Terms for research object set to "no" because the research object is fixed by the specificity of the terminology target (phytoplankton). However we can discuss if the fact there is an extensive range of attributes related to further qualify the research object means that we should select "yes".	phytoplankton specific use case but importance for interoperability between terminologies dealing with similar concepts	
143	Maria	yes	1	Scientific Variables Ontology	SVO	https://scientificvariablesontology.org/svo/	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	hydrology; physical oceanography; deep earth processes; aquatic chemistry; others	ontology	generic	EN		yes	no	yes	yes	yes	yes	yes	yes	no	yes		points to Wikipedia (and thus indirectly connected to other Wikimedia resources), mappings for CF names, SWEET available		SVO is primarily a "top"-level ontology focused on the creation of machine readable representations of scientific variables. The primary aim is to specify how phenomena and properties can be combined to create complex variable representations through design patterns. SVO does not focus on experimental/measurement methods and how they affect observations but rather represents "ideal" or "desired" variables. SVO has a populated lower ontology of domain-specific terms; however, SVO does not aim to define these terms -- rather, the long-term goal is to link these terms to persistent, external definitions. At the moment, many lower ontology terms are linked to Wikipedia and thus, indirectly, to Wikidata entries and the links to other resources made therein. SVO has a persistent IRI and is set up for content negotiation to provide html, xml, and ttl files as requested. SVO also provides a SPARQL endpoint. SVO is currently not registered any public repositories, although it should be added to ESIP COR within the next few months.		
118			0	Macroalgae Traits Thesaurus	MACROALGAETRAITS	http://thesauri.lifewatchitaly.eu/Macroalgae/index.php  OR http://ecoportal.lifewatch.eu/ontologies/MACROALGAETRAITS  	phycology http://data.europa.eu/8mn/euroscivoc/248e39b2-ff43-455f-8b47-514afe14b595	biological traits; phenotypes		narrow			yes	no	yes	no	yes			no								
142	Alison	yes	1	CF (Climate and Forecast) Standard Names	CF	http://vocab.nerc.ac.uk/collection/P07/current/	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f climatology  http://data.europa.eu/8mn/euroscivoc/caef7888-78d0-473b-b3dc-97d8e9c65073	atmospheric physics & chemistry; ocean physics; chemistry & biogeochemistry; land ice; sea ice; hydrology; soil properties; vegetation; plus others	SKOS	generic	EN		yes	no	yes	yes	yes	yes	yes	yes	no	yes		yes		CF standard names follow syntax as laid out in http://cfconventions.org/Data/cf-standard-names/docs/guidelines.html. Many names are designed to describe the output of climate models and numerical weather prediction models, but can also be applied to comparable observations.		
135	Alison	yes	0	Alien Species Thesaurus	ALIENSPECIES	http://thesauri.lifewatchitaly.eu/AlienSpecies  OR http://ecoportal.lifewatch.eu/ontologies/ALIENSPECIES  	biological sciences http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1  ecosystems http://data.europa.eu/8mn/euroscivoc/81f1f477-aa96-427a-adf9-7742a429899a	invasive; non-native; animals; plants; habitat; seeds; eggs  	thesaurus	narrow	EN		no		no	no				no	no	no		yes		Seems to be a glossary of terminology used in the scientific literature describing habitats and spread of alien species, e.g., "weed", "parasitism", "contaminant", but doesn't contain identifiers for species or terms to measure or quantify effects of alien species.	may be a source of categories of research objects related to contamination and alien species?	
120	Gwen	yes	0	Zooplankton Traits Thesaurus	ZOOPLANKTRAITS	http://thesauri.lifewatchitaly.eu/zooplanktonTraits/index.php  OR  http://ecoportal.lifewatchitaly.eu/ontologies/ZOOPLANKTRAITS 	marine biology http://data.europa.eu/8mn/euroscivoc/288627c1-4e51-42b3-b773-f68b39c3b0a9 	biological traits; phenotypes		narrow	EN		no		yes	no				no	no	yes		no		Mainly zooplankton morpho-functional traits in particular body shape, body size and biomass terms. Terms for research object set to "no" because the research object is fixed by the specificity of the terminology target (zooplankton). However we can discuss if the fact there is an extensive range of attributes related to further qualify the research object means that we should select "yes".	zooplankton specific use case but importance for interoperability between terminologies dealing with similar concepts	
121			0	Macrozoobenthos Traits Thesaurus		http://thesauri.lifewatchitaly.eu/MacrozoobenthosTraits/index.php	marine biology http://data.europa.eu/8mn/euroscivoc/288627c1-4e51-42b3-b773-f68b39c3b0a9 	biological traits; phenotypes		narrow			no							no								
123	Anu		0	Fish Traits Thesaurus	FISHTRAITS	http://thesauri.lifewatchitaly.eu/fishTraits/index.php  OR  http://ecoportal.lifewatch.eu/ontologies/FISHTRAITS 	fisheries  http://data.europa.eu/8mn/euroscivoc/0b94b07d-b3bc-4b89-9d2a-5815d4fadb83 	biological traits; phenotypes	SKOS	narrow	EN		no		yes	yes				no	yes			yes		mappings- http://ecoportal.lifewatchitaly.eu/ontologies/FISHTRAITS/?p=mappings		
	Anu	yes	1	eReefs environment/observable-properties	eReefs	http://registry.it.csiro.au/def/environment/property	hydrology http://data.europa.eu/8mn/euroscivoc/a90b6f46-eb48-46d0-81c2-37cf667fd4a 	groundwater; surface water; marine water quality 	SKOS	narrow	EN		yes		yes	yes (see notes)				yes	no	no		yes		object is listed in an external terminology http://registry.it.csiro.au/def/environment/object the terminology also represents Units, Dimensions, Data Types (based on QUDT ontology)		
160	Anu	yes	1	ICES Parameters	ICES	https://vocab.ices.dk/?ref=37	marine biology http://data.europa.eu/8mn/euroscivoc/288627c1-4e51-42b3-b773-f68b39c3b0a9 	trawl survey; oceanography;fisheries;acoustic; environmental data 	SKOS	broad	EN		yes		yes	yes (see notes)	yes	yes	yes	no	yes	yes	yes	yes		species names imported from external terminologies, ERMS/WoRMS semantic web service: https://vocab.ices.dk/services/RDF.aspx		Gwen 13/10/2020 - I have changed Anu's assessment of the semntic model bit because althrough ICES does not have a formal semantic model it does have categories of terms that have some element of logical structure; so I am selecting it as part of the "semantic model" subset.
169	Barbara		1	anaeethes	ANAEETHES	http://agroportal.lirmm.fr/ontologies/ANAEETHES  OR https://vocabulaires-ouverts.inrae.fr/2017/03/13/thesaurus-anaee/  	agricultural sciences http://data.europa.eu/8mn/euroscivoc/9b9abbee-82f5-4766-bd4d-feb73cf06573	hydrosphere; lithosphere; radiations; terrestrial ecosystem; experimental	SKOS	broad	EN	FR		yes	yes	yes	yes			no 	yes	yes	yes	AGROVOC, GEMET				
171	Barbara		0	The Extensible Observation Ontology	OBOE	https://github.com/NCEAS/oboe	All	ontology model framework	ontology	generic	EN		no	yes	yes	no	no	no	no	yes	yes							
	Barbara		1	WISE - Water Information System for Europe	wise	https://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/view	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	environmental chemistry		narrow	EN		no		no	yes				no	no	no	yes			Gwen (13/10/2020) - this terminology seems to be a collection of chemical substances		
215	Barbara		0	Linked Earth Ontology	LiPD	http://linked.earth/ontology/	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f			generic	EN		yes							yes								
219	Barbara		0	TERN	TERN	https://linkeddata.tern.org.au/viewer/ausplots/id/http://linked.data.gov.au/def/ausplots-cv/8b217978-1aec-4e4a-ac9d-b08a47ebf0a4	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f				EN		yes							yes?								
229	Barbara		0	TDWG Darwin Core Terms	TDWG	https://dwc.tdwg.org/list/	biological sciences  http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1 			narrow			no		yes	yes				no								
230	Barbara		0	AODN Discovery Parameter Vocabulary	AODN	https://vocabs.ands.org.au/viewById/22	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f						yes				yes	yes	yes	no								
242	Barbara		1	Socio-Ecological Research and Observation Ontology	SERONTO	http://ww3.umweltbundesamt.at/fileadmin/site/daten/Ontologien/SERONTO/SERONTOCore20090205.owl	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f	biodiversity; socio-ecological research	ontology		EN				no	no				yes	no							
12			1	The Environment Ontology	ENVO	https://github.com/EnvironmentOntology/envo/	earth and related environmental sciences http://data.europa.eu/8mn/euroscivoc/4a8788fc-4172-461c-ae94-40be4f39043f		ontology	broad			yes			yes				yes								
N/A	Steve R.		0	OGC Definitions Service		http://www.opengis.net/def/def-type/	All		SKOS		EN									no						Top level entry to definitions registry, which is a hierarchy of  collections, leafs are skos vocabularies related to OGC standards process, as well as properties and entities in OGC models.		
	Steve R.		1	OGC Observation Types		http://www.opengis.net/def/observationType/	All	Observation types	SKOS		EN									no		yes				Collection of SKOS vocabularies: O&M Observation types, OMXML Observation types, Observations and Measurements XML definitions,  Observations and Measurements definitions		
	Steve R.		1	RDA data foundation terminology		https://smw-rda.esc.rzg.mpg.de/dft-2.0.html	All	Data and data management; metadata	html glossary		EN		no							no		yes				Reference data terminology that can be used across communities and stakeholders to synchronize conceptualization, to enable better understanding within and between communities and finally to stimulate tool building, such as for data services, supportive of the basic modelâ€™s use. We assume that this abstract data organization model will focus on common building blocks and their characteristics, along with relevant protocols. The Published Output can be cited this way: dx.doi.org/10.15497/06825049-8CA4-40BD-BCAF-DE9F0EA2FADF		
suggested (not from survey)	Maria	yes	1	Quantities, Units, Dimensions and dataTypes	QUDT Quantity Kinds	http://www.qudt.org/doc/2020/07/DOC_VOCAB-QUANTITY-KINDS-ALL-v2.1.html	All	quantity kinds; units; dimensions	terminology	generic	EN		no		yes	no	no	no		no	no	no		yes, aligned with dbpedia		Collection of "quantity kinds" which are connected to dimensions and units. Terms cover a broad range of domains, including electricity and magnetism and thermodynamics, but may not be comprehensive for any given topic.		
